transcript_id	gene_id	log2fc	qval	five_prime	three_prime	intergenic	mean_obs	coding_potential	biotype
MSTRG.19001.16	MSTRG.19001	0.83739203850192	2.26690880945665e-07	-	X	-	7.95073838799864	0.0860397553697882	novel
MSTRG.20118.4	MSTRG.20118	2.19079300166881	2.29200554685233e-07	-	X	-	3.57555700142486	0.236170809658487	novel
MSTRG.13658.7	MSTRG.13658	-0.832506574266831	2.30819247890202e-07	X	-	-	5.25336872567583	0.204951001228632	novel
MSTRG.18278.12	MSTRG.18278	-5.47123955490596	2.31754648854035e-07	X	X	-	2.04247259689303	0.0705739984229498	novel
MSTRG.29602.2	MSTRG.29602	-0.730127159170608	2.35771623413994e-07	X	X	-	6.53601586313768	0.995257323808729	novel
MSTRG.18860.10	MSTRG.18860	1.01643986195327	2.37582455343815e-07	X	X	-	7.84622993284426	0.130528823665439	novel
MSTRG.10739.9	MSTRG.10739	-0.7378670075139	2.91787744408491e-07	X	X	-	5.42292517550255	0.999971745254862	novel
MSTRG.4129.1	MSTRG.4129	-1.82888966840243	3.0619666685977e-07	X	-	-	5.36036272802541	0.407039997928637	novel
MSTRG.11265.2	MSTRG.11265	0.498456283468629	3.35059628127786e-07	X	X	-	6.82360420745141	0.308837748215537	novel
MSTRG.17701.2	MSTRG.17701	-3.41010896787728	3.35256364920144e-07	X	X	-	4.62809781328604	0.237889299532483	novel
MSTRG.27389.3	MSTRG.27389	-0.968373543445194	3.59045532446935e-07	X	-	-	4.6695487533327	0.140852062704466	novel
MSTRG.16214.5	MSTRG.16214	-1.94927046228179	3.65456749319666e-07	X	X	-	5.10830241716982	0.999999999991817	novel
